cores,config,transport,dump,scp_s,filter,restore,exec
3,vanilla,0,0,0,0,.001279279,0
3,4,tcp,.090427497,2.810204582,.090969544,1.220321980,5.363268
3,4_4_t,tcp,.090427497,2.810204582,.099258632,1.162406972,3.024297
3,4_4_r,rdma,.090427497,2.810204582,.098164962,1.173839868,3.973298
3,4_2_2_t,tcp,.090427497,2.810204582,.096652146,1.170702531,3.018919
3,4_2_2_r,rdma,.090427497,2.810204582,.096804472,1.221265943,4.003618
3,5_1_1_1_t,tcp,.090427497,2.810204582,.096917153,1.321329900,3.489207
3,5_1_1_1_r,rdma,.090427497,2.810204582,.097267910,1.896059012,5.510036
3,2_2_2_2_t,tcp,.090427497,2.810204582,.097668842,.874575276,2.051298
3,2_2_2_2_r,rdma,.090427497,2.810204582,.097066503,1.227936933,3.960070
