cores,config,transport,dump,scp_s,filter,restore,exec
4,vanilla,0,0,0,0,.001224706,0
4,4,tcp,.097028462,2.797706197,.092915964,1.227125686,4.004761
4,4_4_t,tcp,.097028462,2.797706197,.097688670,1.172846900,2.038211
4,4_4_r,rdma,.097028462,2.797706197,.097604703,1.180763903,2.988706
4,4_2_2_t,tcp,.097028462,2.797706197,.097286667,1.176894613,2.040502
4,4_2_2_r,rdma,.097028462,2.797706197,.096877500,1.209990031,3.045925
4,5_1_1_1_t,tcp,.097028462,2.797706197,.096486923,1.351659645,3.024763
4,5_1_1_1_r,rdma,.097028462,2.797706197,.097783244,1.398727456,3.997602
4,2_2_2_2_t,tcp,.097028462,2.797706197,.097399985,.882289431,2.045125
4,2_2_2_2_r,rdma,.097028462,2.797706197,.096973826,.942206577,2.992998
