cores,config,transport,dump,scp_s,filter,restore,exec
5,vanilla,0,0,0,0,.001266795,0
5,4,tcp,.081841671,2.788875675,.092231821,1.216548898,3.472158
5,4_4_t,tcp,.081841671,2.788875675,.097107962,1.175458505,2.046833
5,4_4_r,rdma,.081841671,2.788875675,.097896911,1.195925336,2.022814
5,4_2_2_t,tcp,.081841671,2.788875675,.096268057,1.177093104,2.069046
5,4_2_2_r,rdma,.081841671,2.788875675,.098299987,1.211874256,2.503377
5,5_1_1_1_t,tcp,.081841671,2.788875675,.097771906,1.330363498,2.057777
5,5_1_1_1_r,rdma,.081841671,2.788875675,.096777012,1.399912565,3.571947
5,2_2_2_2_t,tcp,.081841671,2.788875675,.097113351,.890215540,2.039077
5,2_2_2_2_r,rdma,.081841671,2.788875675,.096569221,.949904594,2.023599
