cores,config,transport,dump,scp_s,filter,restore,exec
2,vanilla,0,0,0,0,.001235436,9.150043551
2,4,tcp,.114153187,2.236159931,.091342116,1.223301282,8.051391
2,4_4_t,tcp,.114153187,2.236159931,.095819699,1.153576920,4.033386
2,4_4_r,rdma,.114153187,2.236159931,.096592318,1.174400342,4.995340
2,4_2_2_t,tcp,.114153187,2.236159931,.096899764,1.493343072,4.028938
2,4_2_2_r,rdma,.114153187,2.236159931,.097202712,1.821980135,5.958948
2,5_1_1_1_t,tcp,.114153187,2.236159931,.096930312,1.426795048,5.066737
2,5_1_1_1_r,rdma,.114153187,2.236159931,.097323829,2.207313011,7.930089
2,2_2_2_2_t,tcp,.114153187,2.236159931,.097032082,.926072038,2.035596
2,2_2_2_2_r,rdma,.114153187,2.236159931,.096585941,1.302427761,5.448255
