cores,config,transport,dump,scp_s,filter,restore,exec
5,vanilla,0,0,0,0,.001306818,0
5,5+1+1+1,tcp,.079889789,2.799778064,.096976792,2.377321959,4.356785
5,5+1+1+1,rdma,.079889789,2.799778064,.097775518,2.452642709,8.209113
5,2+2+2+2,tcp,.079889789,2.799778064,.096935905,1.309638699,4.497193
5,2+2+2+2,rdma,.079889789,2.799778064,.097648250,1.367543021,4.307402
5,8,tcp,.079889789,2.799778064,.091656014,2.949484322,7.177404
5,4+4,tcp,.079889789,2.799778064,.097343059,2.015233807,4.598156
5,4+4,rdma,.079889789,2.799778064,.096785544,2.029040220,4.488064
5,4+2+2,tcp,.079889789,2.799778064,.097488641,2.024102140,4.308546
5,4+2+2,rdma,.079889789,2.799778064,.098242664,2.339725610,6.417366
