cores,config,transport,dump,scp_s,filter,restore,exec
8,vanilla,0,0,0,0,.001273056,0
8,5+1+1+1,tcp,.079563147,2.806234154,.098043481,2.377240250,4.538811
8,5+1+1+1,rdma,.079563147,2.806234154,.097319865,2.448221135,6.219047
8,2+2+2+2,tcp,.079563147,2.806234154,.097902256,1.319420015,4.482675
8,2+2+2+2,rdma,.079563147,2.806234154,.097340744,1.378999087,4.355082
8,8,tcp,.079563147,2.806234154,.091728630,2.943551790,5.724493
8,4+4,tcp,.079563147,2.806234154,.096967615,2.034992766,4.534275
8,4+4,rdma,.079563147,2.806234154,.097062072,2.042657612,4.362061
8,4+2+2,tcp,.079563147,2.806234154,.097274301,2.017641222,4.498661
8,4+2+2,rdma,.079563147,2.806234154,.098690945,2.064519827,4.517457
