cores,config,transport,dump,scp_s,filter,restore,exec
6,vanilla,0,0,0,0,.001253468,0
6,5+1+1+1,tcp,.080862201,2.262223872,.097301041,2.376462476,4.506767
6,5+1+1+1,rdma,.080862201,2.262223872,.097959164,2.455749337,6.759117
6,2+2+2+2,tcp,.080862201,2.262223872,.097286343,1.309419193,4.548632
6,2+2+2+2,rdma,.080862201,2.262223872,.097246909,1.651534528,4.454735
6,8,tcp,.080862201,2.262223872,.091953932,2.952726187,6.468735
6,4+4,tcp,.080862201,2.262223872,.096977193,2.031440296,4.326658
6,4+4,rdma,.080862201,2.262223872,.096982733,2.040386184,4.492650
6,4+2+2,tcp,.080862201,2.262223872,.096924274,2.024219325,4.465243
6,4+2+2,rdma,.080862201,2.262223872,.097417068,2.069420733,4.474733
