cores,config,transport,dump,scp_s,filter,restore,exec
32,vanilla,0,0,0,0,.001475254,0
32,5+1+1+1,tcp,.067850438,2.794321153,.098190694,2.382031494,4.367253
32,5+1+1+1,rdma,.067850438,2.794321153,.097066007,2.462251095,4.519820
32,2+2+2+2,tcp,.067850438,2.794321153,.098358479,1.343308329,4.572095
32,2+2+2+2,rdma,.067850438,2.794321153,.097704103,1.376770551,4.496134
32,8,tcp,.067850438,2.794321153,.091764394,2.942690753,4.430558
32,4+4,tcp,.067850438,2.794321153,.096764953,2.024900515,4.544701
32,4+4,rdma,.067850438,2.794321153,.097074503,2.046146686,4.504663
32,4+2+2,tcp,.067850438,2.794321153,.096813333,2.036022908,4.530074
32,4+2+2,rdma,.067850438,2.794321153,.097254080,2.088199697,4.441636
