config,dump_s,scp_s,filter_s,restore_s,exec_s
base,.199066134,.888024279,.092223184,1.697984002,17.531091
split16_16_tcp,.199066134,.888024279,.098566302,1.376528992,8.820754
split16_16_rdma,.199066134,.888024279,.097575782,1.402070252,11.727484
