config,dump_s,scp_s,filter_s,restore_s,exec_s
base,.467672337,1.487994077,.249931256,.339785594,32.557210
split16_16_tcp,.467672337,1.487994077,.254355047,.888847144,24.840132
split16_16_rdma,.467672337,1.487994077,.250458686,1.198127617,29.445564
