config,dump_s,scp_s,filter_s,restore_s,exec_s
base,1.513469177,2.925588756,.418803759,4.125595134,66.550006
split16_16_tcp,1.513469177,2.925588756,.424220223,5.180751129,36.143739
split16_16_rdma,1.513469177,2.925588756,.419039333,4.953816225,36.967226
