config,init,dump_s,scp_s,filter_s,restore_s,exec_s
base,.050781611,.112909916,1.813634526,.092402105,1.697353194,17.804482
split4_4_tcp,.050781611,.112909916,1.813634526,.098174159,1.387142108,9.165526
split4_4_rdma,.050781611,.112909916,1.813634526,.098492124,1.364970491,9.094501
split4_2_2_tcp,.050781611,.112909916,1.813634526,.098818124,1.667719160,8.948884
split4_2_2_rdma,.050781611,.112909916,1.813634526,.097561765,1.610295243,8.982758
