cores,exec_s,tot
1,34.425001,37.367835004
2,17.240925,20.175335654
3,11.591667,14.527760147
4,8.632307,11.571218700
5,7.251077,10.184798431
6,6.268844,9.192870627
7,6.208001,9.137227737
8,4.355127,7.289943411
16,4.363348,7.282107287
32,4.441200,7.367386631
