config,init,dump_s,scp_s,filter_s,restore_s,exec_s
base,.642026295,5.545063502,17.250823277,2.718340390,.964342073,59.062610
split16_16_tcp,.642026295,5.545063502,17.250823277,2.684777538,5.257967301,47.330896
split16_16_rdma,.642026295,5.545063502,17.250823277,2.685801748,4.955392127,47.810947
split16_48_tcp,.642026295,5.545063502,17.250823277,2.681978024,4.493783845,37.171666
split16_48_rdma,.642026295,5.545063502,17.250823277,2.708879885,3.896268119,36.700874
split48_16_tcp,.642026295,5.545063502,17.250823277,2.676599226,4.203007103,57.611176
split48_16_tcp,.642026295,5.545063502,17.250823277,2.667509794,4.179627066,58.507243
split32_16_16_tcp,.642026295,5.545063502,17.250823277,2.645531619,4.170531706,46.995370
split32_16_16_rdma,.642026295,5.545063502,17.250823277,2.638639582,3.953846651,47.679034
split22_21_21_tcp,.642026295,5.545063502,17.250823277,2.678642196,4.202862325,38.687694
split22_21_21_rdma,.642026295,5.545063502,17.250823277,2.657154893,3.920520425,38.298437
