config,dump_s,scp_s,filter_s,restore_s,exec_s
base,.248317895,1.209724961,.146315413,.116950467,0.378175
split16_16_tcp,.248317895,1.209724961,.153008047,.658188634,2.552868
split16_16_rdma,.248317895,1.209724961,.151043313,.677633103,2.886980
