config,init,dump_s,scp_s,filter_s,restore_s,exec_s
base,.254958809,1.630951078,13.566242747,.822025053,5.708590662,32.277967
split16_16_rdma,.254958809,1.630951078,13.566242747,.823374200,6.930900125,29.322676
split16_48_tcp,.254958809,1.630951078,13.566242747,.822914344,7.138246986,25.836441
split16_48_rdma,.254958809,1.630951078,13.566242747,.828164450,6.931596917,26.825276
split48_16_tcp,.254958809,1.630951078,13.566242747,.838237408,7.160702783,33.474921
split48_16_same,.254958809,1.630951078,13.566242747,.833216131,6.944317596,33.742915
split32_16_16_tcp,.254958809,1.630951078,13.566242747,.831503736,4.537252715,29.989271
split32_16_16_rdma,.254958809,1.630951078,13.566242747,.829488041,4.330614516,30.640606
split22_21_21_tcp,.254958809,1.630951078,13.566242747,.832545513,7.366990436,26.928408
split22_21_21_rdma,.254958809,1.630951078,13.566242747,.828705139,6.951566202,25.371782
split16_16_16_16_tcp,.254958809,1.630951078,13.566242747,.827374065,4.542243760,22.228056
split16_16_16_16_rdma,.254958809,1.630951078,13.566242747,.851484345,3.036320641,22.543179
split34_10_10_10_tcp,.254958809,1.630951078,13.566242747,.842339447,4.387306557,23.159275
config,init,dump_s,scp_s,filter_s,restore_s,exec_s
split2nodes,.267583766,1.708319199,13.996886738,.831003052,6.951335428,24.793245
split3nodes,.267583766,1.708319199,13.996886738,.840928765,6.931755005,18.559342
split4nodes,.267583766,1.708319199,13.996886738,.856570311,2.639006149,20.969439
