cores,config,transport,dump,scp_s,filter,restore,exec
1,vanilla,0,0,0,0,.001078902,0
1,base,tcp,.240228698,2.797866979,.090935377,1.218040750,15.866129
1,4_4_t,tcp,.240228698,2.797866979,.095698774,39.883897616,0.0
1,4_4_r,rdma,.240228698,2.797866979,.095610775,.031762137,0.0
1,4_2_2_t,tcp,.240228698,2.797866979,.094804275,.045365297,0.0
1,4_2_2_r,rdma,.240228698,2.797866979,.096513681,.045860475,0.0
1,5_1_1_1_t,tcp,.240228698,2.797866979,.095327638,391.033353563,0.0
1,5_1_1_1_r,rdma,.240228698,2.797866979,.095873852,.058292948,0.0
1,2_2_2_2_t,tcp,.240228698,2.797866979,.095103979,1.017146684,4.014451
