config,dump_s,scp_s,filter_s,restore_s,exec_s
base,6.130318093,9.075241959,2.805157773,8.493885784,27.988889
split16_16_tcp,6.130318093,9.075241959,2.660688307,11.419558664,25.948799
split16_16_rdma,6.130318093,9.075241959,2.798509352,11.753304244,26.012023
